Name,EmployeeID,Salary,DOB,JoinDate,Year of Service,Weight,Address,Email
Aishwarya Menon,"15th December, 1984",90000,"15th December, 1984",24.05.2009,,150 lbs,"123 Elm St Apt 5, New York, NY 10001",aishwarya.menon@g mail.com
"Al-Farsi, Ahmed",5/21/80,800K,5/21/80,24-May-15,7 years,68.5 kg,"456 Maple Ave #101, Los Angeles, CA 90210",ahmed.alfarsi@yahoo.c om
"Al-Farsi, Ahmed",5/21/80,800K,5/21/80,24-May-15,,68.5 kg,"456 Maple Ave APT 101, Los Angeles, CA 90210",ahmed.alfarsi@yahoo.com
"Al-Farsi, Ahmed M.",03.10.1978,500K,03.10.1978,2-Jun-10,12 years,75.2 kg,"987 Pine Blvd, San Francisco, CA 94102",ahmed.m.alfarsi@gmail.c om
Alice B. Brown,8/12/83,"$950,000.00",8/12/83,15-Oct-18,3 years,200 lbs,"654 Birch Rd, Apt 305, Boston, MA 02108",alice.brown@gmail.com
Alice K Brown,2/10/83,780K,2/10/83,1-Jul-15,,90.3 kg,"321 Cedar Dr, Seattle, WA 98101",alice.88-brown@yahoo.com
"Chen, Mei",5/15/90,"$25,000.00",5/15/90,8/23/05,16 years,160 lbs,"111 Willow Cir #7, Houston, TX 77002",mei.chen@yahoo.c om
"Chen, Mei",9/18/77,"33,000",9/18/77,12.22.2014,,72.6 kg,"222 Spruce Ct, Atlanta, GA 30301",mei.chen@yahoo.c om
"Choudhary-Smith, Meera","16th August, 1971",42K,"16th August, 1971",14/12/2012,,145 pounds,"333 Fir Pl, Miami, FL 33101",meera.choudhary-smith@g mail.com
"Chris Davis, Esq.",19/07/1972,15K,19/07/1972,28-Sep-09,12 years,65.7 kg,"444 Poplar Ln, Unit 12, Dallas, TX 75201",chris.davis.esq@gmail.com
"Da Silva, Maria",15.06.1996,"$250,000.00",15.06.1996,8/16/06,,185 lbs,"555 Sycamore Ave Apt 201, Washington, DC 20001",maria.da.silva@gmail.com
